cycle,profile,routing_contract,block_steps,bootstrap_seed,test_step_min,test_step_max,incumbent_alpha,candidate_alpha,decision,primary_metric,primary_point_delta,primary_lower_bound,incumbent_precision,candidate_precision,delta_precision,lcb_precision,ucb_precision,incumbent_fraud_recall,candidate_fraud_recall,delta_fraud_recall,lcb_fraud_recall,ucb_fraud_recall,incumbent_fraud_value_recall,candidate_fraud_value_recall,delta_fraud_value_recall,lcb_fraud_value_recall,ucb_fraud_value_recall,delta_balanced_hmean,lcb_balanced_hmean,ucb_balanced_hmean,precision_guardrail_pass,fraud_recall_guardrail_pass,fraud_value_recall_guardrail_pass,queue_overlap_rate,replacement_count,incumbent_review_delay_mean_steps,candidate_review_delay_mean_steps,incumbent_review_delay_p90_steps,candidate_review_delay_p90_steps,bootstrap_valid,reason
2,value_first,seen_so_far_backlog,5,20261027,645,694,0.25,0.5,KEEP_INCUMBENT,fraud_value_recall,-0.0021297454070181576,-0.00543767594424475,0.42042042042042044,0.4144144144144144,-0.006006006006006037,-0.011814856609701028,-0.00022438082254032824,0.2564102564102564,0.25274725274725274,-0.00366300366300365,-0.009803921568627435,0.0,0.8173679023122683,0.8152381569052501,-0.0021297454070181576,-0.00543767594424475,0.0,-0.0044975747507458586,-0.011643133516437669,0.0,True,True,True,0.993993993993994,2,8.585585585585585,8.525525525525525,28.80000000000001,28.80000000000001,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
2,value_first,seen_so_far_backlog,10,20271027,645,694,0.25,0.5,KEEP_INCUMBENT,fraud_value_recall,-0.0021297454070181576,-0.0045299283093687215,0.42042042042042044,0.4144144144144144,-0.006006006006006037,-0.010420006503369283,-0.0008077889295722744,0.2564102564102564,0.25274725274725274,-0.00366300366300365,-0.008196721311475419,0.0,0.8173679023122683,0.8152381569052501,-0.0021297454070181576,-0.0045299283093687215,0.0,-0.0044975747507458586,-0.009800704590151879,0.0,True,True,True,0.993993993993994,2,8.585585585585585,8.525525525525525,28.80000000000001,28.80000000000001,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
3,balanced,seen_so_far_backlog,1,20262126,695,743,0.25,0.25,KEEP_INCUMBENT,balanced_hmean,-0.004305280833759473,-0.018943407821891838,0.8732394366197183,0.8591549295774648,-0.014084507042253502,-0.04402515723270439,0.0,0.11151079136690648,0.10971223021582734,-0.0017985611510791394,-0.012112068965517251,0.00733520972491561,0.3946011427613643,0.37324497201906376,-0.021356170742300562,-0.05552776394820361,0.004546092773903116,-0.004305280833759473,-0.018943407821891838,0.009163437548041463,False,True,False,0.9436619718309859,4,2.8450704225352115,2.8732394366197185,7.0,8.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
3,balanced,seen_so_far_backlog,3,20264126,695,743,0.25,0.25,KEEP_INCUMBENT,balanced_hmean,-0.004305280833759473,-0.017067357527206204,0.8732394366197183,0.8591549295774648,-0.014084507042253502,-0.04433270676691727,0.0,0.11151079136690648,0.10971223021582734,-0.0017985611510791394,-0.01079262116253702,0.007481857629147502,0.3946011427613643,0.37324497201906376,-0.021356170742300562,-0.05053526366252416,0.004269358652974757,-0.004305280833759473,-0.017067357527206204,0.008957541890456496,False,True,False,0.9436619718309859,4,2.8450704225352115,2.8732394366197185,7.0,8.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
3,balanced,seen_so_far_backlog,5,20261126,695,743,0.25,0.25,KEEP_INCUMBENT,balanced_hmean,-0.004305280833759473,-0.015930133004112595,0.8732394366197183,0.8591549295774648,-0.014084507042253502,-0.041867175273865374,0.0,0.11151079136690648,0.10971223021582734,-0.0017985611510791394,-0.00976688164465823,0.005785478029214558,0.3946011427613643,0.37324497201906376,-0.021356170742300562,-0.05133791819739066,0.002916313133985338,-0.004305280833759473,-0.015930133004112595,0.006559565451622335,False,True,False,0.9436619718309859,4,2.8450704225352115,2.8732394366197185,7.0,8.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
3,balanced,seen_so_far_backlog,10,20271126,695,743,0.25,0.25,KEEP_INCUMBENT,balanced_hmean,-0.004305280833759473,-0.014889456303895054,0.8732394366197183,0.8591549295774648,-0.014084507042253502,-0.03891269549164281,0.0,0.11151079136690648,0.10971223021582734,-0.0017985611510791394,-0.009363295880149817,0.003694706391508356,0.3946011427613643,0.37324497201906376,-0.021356170742300562,-0.05125740127201456,0.0007807485346315455,-0.004305280833759473,-0.014889456303895054,0.002743947918422333,False,True,False,0.9436619718309859,4,2.8450704225352115,2.8732394366197185,7.0,8.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
3,case_first,seen_so_far_backlog,1,20262125,695,743,0.25,0.25,KEEP_INCUMBENT,fraud_recall,-0.0017985611510791394,-0.011208354295936054,0.8732394366197183,0.8591549295774648,-0.014084507042253502,-0.04353265844953636,0.0,0.11151079136690648,0.10971223021582734,-0.0017985611510791394,-0.011208354295936054,0.007566779061147384,0.3946011427613643,0.37324497201906376,-0.021356170742300562,-0.0539003595587371,0.00329573997845437,-0.004305280833759473,-0.01723522649033918,0.008929564687566241,False,True,False,0.9436619718309859,4,2.8450704225352115,2.8732394366197185,7.0,8.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
3,case_first,seen_so_far_backlog,3,20264125,695,743,0.25,0.25,KEEP_INCUMBENT,fraud_recall,-0.0017985611510791394,-0.010819728959003731,0.8732394366197183,0.8591549295774648,-0.014084507042253502,-0.04432920536635705,0.0,0.11151079136690648,0.10971223021582734,-0.0017985611510791394,-0.010819728959003731,0.007177268937538135,0.3946011427613643,0.37324497201906376,-0.021356170742300562,-0.05173490197321688,0.004443352508475342,-0.004305280833759473,-0.01690771826909209,0.008454120940816351,False,True,False,0.9436619718309859,4,2.8450704225352115,2.8732394366197185,7.0,8.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
3,case_first,seen_so_far_backlog,5,20261125,695,743,0.25,0.25,KEEP_INCUMBENT,fraud_recall,-0.0017985611510791394,-0.009375322669970808,0.8732394366197183,0.8591549295774648,-0.014084507042253502,-0.045150525575053856,0.0,0.11151079136690648,0.10971223021582734,-0.0017985611510791394,-0.009375322669970808,0.00576228938297904,0.3946011427613643,0.37324497201906376,-0.021356170742300562,-0.05092840272585646,0.002478572155958487,-0.004305280833759473,-0.015578501495382549,0.006685520448098901,False,True,False,0.9436619718309859,4,2.8450704225352115,2.8732394366197185,7.0,8.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
3,case_first,seen_so_far_backlog,10,20271125,695,743,0.25,0.25,KEEP_INCUMBENT,fraud_recall,-0.0017985611510791394,-0.009665292368780753,0.8732394366197183,0.8591549295774648,-0.014084507042253502,-0.04104908046933838,0.0,0.11151079136690648,0.10971223021582734,-0.0017985611510791394,-0.009665292368780753,0.003685775236020328,0.3946011427613643,0.37324497201906376,-0.021356170742300562,-0.04969108770587243,0.0004072600950064992,-0.004305280833759473,-0.015471897261505788,0.002509218219321298,False,True,False,0.9436619718309859,4,2.8450704225352115,2.8732394366197185,7.0,8.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
