target_prevalence,repeat,method,n,observed_prevalence,mean_predicted_risk,brier,log_loss,ece_10bin
0.01,10,unadjusted,3829,0.009924262209454165,0.010154004953227632,0.008919587479625044,0.051187021131197274,0.005845902022350778
0.01,10,prior_adjusted,3829,0.009924262209454165,0.009529933812813342,0.008806118768478708,0.05119503239035895,0.0057176331759107605
0.01,11,unadjusted,3829,0.009924262209454165,0.00983036629247946,0.009215002849861657,0.0516913926272059,0.0059818001303389955
0.01,11,prior_adjusted,3829,0.009924262209454165,0.009203683597667456,0.009104803666229429,0.05172980098891364,0.006318025183091326
0.01,12,unadjusted,3829,0.009924262209454165,0.01043497955519492,0.00849938776588584,0.04776405015774945,0.004582776097081301
0.01,12,prior_adjusted,3829,0.009924262209454165,0.009797695503440309,0.008395112178278468,0.04774639297340538,0.00490808556250526
0.01,13,unadjusted,3829,0.009924262209454165,0.010799149253543618,0.008231992744270486,0.049649502969035614,0.006069192954892472
0.01,13,prior_adjusted,3829,0.009924262209454165,0.010170604188772631,0.008112312998258516,0.04959736627168166,0.0059422012449872105
0.01,14,unadjusted,3829,0.009924262209454165,0.010256508307514298,0.008735653240405166,0.04682579508590151,0.0058862657012123815
0.01,14,prior_adjusted,3829,0.009924262209454165,0.009624893707144139,0.008631321760574661,0.04682457175002399,0.006230379806868292
0.01,15,unadjusted,3829,0.009924262209454165,0.009368399278673854,0.009808420465556314,0.05627526637017015,0.006881219786523894
0.01,15,prior_adjusted,3829,0.009924262209454165,0.008754185026846162,0.009689379412897927,0.05635630847377788,0.007217657022534719
0.01,16,unadjusted,3829,0.009924262209454165,0.010395348020361192,0.008608470288575086,0.047846701636525046,0.0050412315336031
0.01,16,prior_adjusted,3829,0.009924262209454165,0.00976472719401719,0.008501056573973955,0.0478324426657187,0.004905196400170686
0.01,17,unadjusted,3829,0.009924262209454165,0.010106462006507017,0.008866753813292784,0.04886231506857566,0.005607376890623313
0.01,17,prior_adjusted,3829,0.009924262209454165,0.009473120616587906,0.008765161498772309,0.048875209176702634,0.005937550107675535
0.01,18,unadjusted,3829,0.009924262209454165,0.009505525716336,0.009574995949822099,0.05327870122787445,0.006514274455450971
0.01,18,prior_adjusted,3829,0.009924262209454165,0.008882497423269122,0.009468925567608744,0.05334733124929794,0.006855584329310865
0.01,19,unadjusted,3829,0.009924262209454165,0.009325950300317349,0.00974040095227331,0.056322449901002276,0.006951431258675781
0.01,19,prior_adjusted,3829,0.009924262209454165,0.008701339221859604,0.009630514448929582,0.0564079482293006,0.0068157175892217476
0.02,0,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.01651450990892713,0.0919730777842254,0.01141377484243176
0.02,0,prior_adjusted,3868,0.019906928645294725,0.017393137175898153,0.017178146714268216,0.08863990162108465,0.010271553564649828
0.02,1,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.016514509908927135,0.0919730777842254,0.01141377484243176
0.02,1,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268212,0.08863990162108465,0.010271553564649826
0.02,2,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.016514509908927135,0.09197307778422538,0.01141377484243176
0.02,2,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268216,0.08863990162108465,0.010271553564649826
0.02,3,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.01651450990892713,0.09197307778422538,0.011413774842431758
0.02,3,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268216,0.08863990162108466,0.010271553564649826
0.02,4,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.01651450990892713,0.09197307778422538,0.01141377484243176
0.02,4,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268216,0.08863990162108465,0.010271553564649826
0.02,5,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.016514509908927135,0.09197307778422538,0.01141377484243176
0.02,5,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268212,0.08863990162108465,0.010271553564649828
0.02,6,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.01651450990892713,0.09197307778422538,0.01141377484243176
0.02,6,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268212,0.08863990162108465,0.010271553564649826
0.02,7,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.01651450990892713,0.0919730777842254,0.01141377484243176
0.02,7,prior_adjusted,3868,0.019906928645294725,0.017393137175898153,0.017178146714268216,0.08863990162108465,0.010271553564649826
0.02,8,unadjusted,3868,0.019906928645294725,0.011851445294560038,0.016514509908927135,0.0919730777842254,0.01141377484243176
0.02,8,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268216,0.08863990162108466,0.010271553564649826
0.02,9,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.01651450990892713,0.09197307778422538,0.011413774842431758
